onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
898	2	224.5	51	9	D	1	2.0	2	True	3	4	2	1	1/8	True	1	49	65	47	47a	3	449/2	False	True					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	8	5	5	#7	True	False	True
898	6	224.5	78	6	F	1	2.0	2	True	3	4	1	1	3/8	True	1	49	65	47	47a	5	449/2	False	True					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	5	2	2	2	True	False	False
900	2	225.0	52	4	E	0	2.5	0	False	3	4	2	1	1/8	True	1	49	65	47	47a	3	225	False	False					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	3	0	0	1	False	False	False
902	2	225.5	54	6	F	1	3.0	3	True	3	4	2	1	1/8	True	1	49	65	47	47a	3	451/2	False	False					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	5	2	2	2	True	False	False
904	2	226.0	51	9	D	1	3.5	0	False	3	4	2	1	1/8	True	1	49	65	47	47a	3	226	False	False					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	8	5	5	#7	True	False	True
904	2	226.0	78	6	F	1	3.5	0	False	3	4	1	1	1/8	True	1	49	65	47	47a	5	226	False	False					False	133		V65	G	vi		V65	V		65			Mm7	False	True	(5, 2, -1, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V65	V65, minor		V65, minor		V	V7	5		1	4	4	5	9	B	D#	E	E	dominant seventh chord	1	True	True	True	True	True	5	2	2	2	True	False	False
906	2	226.5	52	4	E	0	1.0	1	True	3	4	2	1	1/8	True	1	50	66	48	48a	3	453/2	False	True					False	134		i(94)	G	vi		i(94)	i			94		m	False	True	(0, -1, 1)	(2,)	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i(94), minor		i	i	1		1	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	3	0	0	1	True	True	True
906	6	226.5	78	6	F	1	1.0	1	True	3	4	1	1	3/8	True	1	50	66	48	48a	5	453/2	False	True					False	134		i(94)	G	vi		i(94)	i			94		m	False	True	(0, -1, 1)	(2,)	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i(94), minor		i	i	1		1	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	5	2	2	2	False	False	False
908	2	227.0	51	9	D	1	1.5	0	False	3	4	2	1	1/8	True	1	50	66	48	48a	3	227	False	False					False	134		i(94)	G	vi		i(94)	i			94		m	False	True	(0, -1, 1)	(2,)	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i(94), minor		i	i	1		1	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	8	5	5	#7	False	False	False
910	2	227.5	52	4	E	0	2.0	2	True	3	4	2	1	1/8	True	1	50	66	48	48a	3	455/2	False	False					False	134		i(94)	G	vi		i(94)	i			94		m	False	True	(0, -1, 1)	(2,)	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i(94), minor		i	i	1		1	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	3	0	0	1	True	True	True
912	2	228.0	54	6	F	1	2.5	0	False	3	4	2	1	1/8	True	1	50	66	48	48a	3	228	False	False					False	134		i(94)	G	vi		i(94)	i			94		m	False	True	(0, -1, 1)	(2,)	0	0	major	minor	vi	vi, major	i		vi	vi	True	i	i, minor		i(94), minor		i	i	1		1	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	5	2	2	2	False	False	False
