onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
21	1	10.5	56	-4	A	-1	1.5	0	False	4	4	2	1	1/8	True	-3	4	4	3	3a	3	21/2	False	False					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-3	-3	-3	3	False	False	False
22	0	11.0	72	0	C	0	2.0	2	True	4	4	1	1	0	True	-3	4	4	3	3a	5	11	False	False					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	1	1	1	5	False	False	False
22	1	11.0	58	-2	B	-1	2.0	2	True	4	4	2	1	1/8	True	-3	4	4	3	3a	3	11	False	False					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
22	2	11.0	70	-2	B	-1	2.0	2	True	4	4	1	1	1/4	True	-3	4	4	3	3a	4	11	False	False					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
23	1	11.5	56	-4	A	-1	2.5	0	False	4	4	2	1	1/8	True	-3	4	4	3	3a	3	23/2	False	False					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-3	-3	-3	3	False	False	False
24	1	12.0	55	1	G	0	3.0	3	True	4	4	2	1	1/8	True	-3	4	4	3	3a	3	12	False	True					False	10	VII6	f	i		VII6	VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	VII	7		-1	-1	-1	-3	1	Eb	G	F	F	major triad	1	True	True	True	True	True	2	2	2	2	True	False	True
24	2	12.0	75	-3	E	-1	3.0	3	True	4	4	1	1	1/4	True	-3	4	4	3	3a	5	12	False	True					False	10	VII6	f	i		VII6	VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	VII	7		-1	-1	-1	-3	1	Eb	G	F	F	major triad	1	True	True	True	True	True	-2	-2	-2	7	True	True	False
25	1	12.5	53	-1	F	0	3.5	0	False	4	4	2	1	1/8	True	-3	4	4	3	3a	3	25/2	False	False					False	10	VII6	f	i		VII6	VII		6			M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	VII		i	i	True	VII6	VII6, minor		VII6, minor		VII	VII	7		-1	-1	-1	-3	1	Eb	G	F	F	major triad	1	True	True	True	True	True	0	0	0	1	False	False	False
26	1	13.0	55	1	G	0	4.0	4	True	4	4	2	1	1/8	True	-3	4	4	3	3a	3	13	False	True					False	11	V65/III	f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	True	True	True	True	2	2	5	2	True	False	True
26	2	13.0	73	-5	D	-1	4.0	4	True	4	4	1	1	1/4	True	-3	4	4	3	3a	5	13	False	True					False	11	V65/III	f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	True	True	True	True	-4	-4	-1	6	True	False	False
27	1	13.5	51	-3	E	-1	4.5	0	False	4	4	2	1	1/8	True	-3	4	4	3	3a	3	27/2	False	False					False	11	V65/III	f	i		V65/III	V		65		III	Mm7	True	True	(2, -1, -4, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V65/III	V65/III, minor		V65/III, minor	III	III	V7	5	3	-1	-1	-4	-3	1	Eb	G	F	Ab	dominant seventh chord	1	True	True	True	True	True	-2	-2	1	7	True	True	False
28	1	14.0	56	-4	A	-1	1.0	1	True	4	4	2	1	1/8	True	-3	5	5	4	4a	3	14	False	True					False	12	III	f	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	major triad	0	True	True	True	True	True	-3	-3	-3	3	True	True	True
28	2	14.0	72	0	C	0	1.0	1	True	4	4	1	1	1/4	True	-3	5	5	4	4a	5	14	False	True					False	12	III	f	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
29	1	14.5	55	1	G	0	1.5	0	False	4	4	2	1	1/8	True	-3	5	5	4	4a	3	29/2	False	False					False	12	III	f	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
30	0	15.0	70	-2	B	-1	2.0	2	True	4	4	1	1	0	True	-3	5	5	4	4a	4	15	False	False				}	True	13	}	f	i		III	III					M	True	True	()	()	-3	-3	minor	minor	i	i, minor	III		i	i	True		, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	None	0	False	True	True	True	True	-1	-1	-1	4	False	False	False
30	1	15.0	56	-4	A	-1	2.0	2	True	4	4	2	1	1/8	True	-3	5	5	4	4a	3	15	False	False				}	True	13	}	f	i		III	III					M	True	True	()	()	-3	-3	minor	minor	i	i, minor	III		i	i	True		, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	None	0	False	True	True	True	True	-3	-3	-3	3	False	True	True
30	2	15.0	68	-4	A	-1	2.0	2	True	4	4	1	1	1/4	True	-3	5	5	4	4a	4	15	False	False				}	True	13	}	f	i		III	III					M	True	True	()	()	-3	-3	minor	minor	i	i, minor	III		i	i	True		, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	None	0	False	True	True	True	True	-3	-3	-3	3	False	True	True
31	1	15.5	55	1	G	0	2.5	0	False	4	4	2	1	1/8	True	-3	5	5	4	4a	3	31/2	False	False					False	13	}	f	i		III	III					M	True	True	()	()	-3	-3	minor	minor	i	i, minor	III		i	i	True		, minor		III, minor		III	III	3		-1	-1	-1	-4	-4	Ab	Ab	F	F	None	0	False	True	True	True	True	2	2	2	2	False	False	False
