onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
600	6	25.0	54	6	F	1	2.0	2	True	4	4	1	1	1/16	True	2	7	7	7	7a	3	25	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	1	1	1	5	True	True	False
606	6	25.25	53	-1	F	0	2.25	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	101/4	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	-6	-6	-6	b5	False	False	False
612	12	25.5	35	5	B	0	2.5	0	False	4	4	2	1	1/8	True	2	7	7	7	7a	1	51/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	0	0	0	1	False	False	False
612	12	25.5	37	7	C	1	2.5	0	False	4	4	2	1	1/8	False	2	7	7	7	7a	2	51/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
612	12	25.5	46	10	A	1	2.5	0	False	4	4	2	1	1/8	False	2	7	7	7	7a	2	51/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	5	5	5	#7	True	False	False
612	6	25.5	52	4	E	0	2.5	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	51/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	-1	-1	-1	4	False	False	False
618	6	25.75	51	9	D	1	2.75	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	103/4	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	4	4	4	#3	False	False	False
624	24	26.0	50	2	D	0	3.0	3	True	4	4	1	1	1/4	True	2	7	7	7	7a	3	26	False	True				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-3	-3	-1	3	True	False	False
636	12	26.5	45	3	A	0	3.5	0	False	4	4	2	1	1/8	True	2	7	7	7	7a	2	53/2	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-2	-2	0	7	True	False	False
648	12	27.0	41	-1	F	0	4.0	4	True	4	4	2	1	1/8	True	2	7	7	7	7a	2	27	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-6	-6	-4	b5	True	False	False
648	12	27.0	45	3	A	0	4.0	4	True	4	4	2	1	1/8	False	2	7	7	7	7a	2	27	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-2	-2	0	7	True	False	False
648	24	27.0	47	5	B	0	4.0	4	True	4	4	1	1	1/4	True	2	7	7	7	7a	2	27	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	0	0	2	1	True	True	True
660	12	27.5	35	5	B	0	4.5	0	False	4	4	2	1	1/8	True	2	7	7	7	7a	1	55/2	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	0	0	2	1	True	True	True
660	12	27.5	41	-1	F	0	4.5	0	False	4	4	2	1	1/8	False	2	7	7	7	7a	2	55/2	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-6	-6	-4	b5	True	False	False
660	12	27.5	45	3	A	0	4.5	0	False	4	4	2	1	1/8	False	2	7	7	7	7a	2	55/2	False	False				False	12	ii%7/vii]		b	i	i	ii%7/vii		ii	%	7		vii	%7	True	True	(0, -3, -6, -2)	()	0	0	minor	minor	i	i, minor	ii/vii	vii	vii/i	vii	True	ii%7/vii	ii%7/vii, minor	i	ii%7/vii, minor	vii	vii	ii%7	2	7	5	5	3	5	5	B	B	B	A	half-diminished seventh chord	7	True	True	True	True	True	-2	-2	0	7	True	False	False
672	96	28.0	47	5	B	0	1.0	1	True	4	4	1	1	1	False	2	8	8	8	8a	2	28	False	True				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
684	12	28.5	44	8	G	1	1.5	0	False	4	4	2	1	1/8	True	2	8	8	8	8a	2	57/2	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	3	3	3	#6	True	False	False
696	12	29.0	35	5	B	0	2.0	2	True	4	4	2	1	1/8	True	2	8	8	8	8a	1	29	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
696	12	29.0	44	8	G	1	2.0	2	True	4	4	2	1	1/8	False	2	8	8	8	8a	2	29	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	3	3	3	#6	True	False	False
708	12	29.5	28	4	E	0	2.5	0	False	4	4	2	1	1/8	True	2	8	8	8	8a	1	59/2	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
708	12	29.5	35	5	B	0	2.5	0	False	4	4	2	1	1/8	False	2	8	8	8	8a	1	59/2	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
708	12	29.5	44	8	G	1	2.5	0	False	4	4	2	1	1/8	False	2	8	8	8	8a	2	59/2	False	False				False	13	IV	V/vii	b	i		IV		IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		5	5	5	4	4	E	E	B	B	major triad	0	True	True	True	True	True	3	3	3	#6	True	False	False
732	12	30.5	43	1	G	0	3.5	0	False	4	4	2	1	1/8	True	2	8	8	8	8a	2	61/2	False	False				False	14	VI		b	i		VI		VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	VI	6		5	5	5	1	1	G	G	B	B	major triad	0	True	True	True	True	True	-4	-4	-4	6	True	True	True
