onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
788	4	197.0	40	4	E	0	3.0	3	True	3	8	2	1	1/8	True	1	25	68	23	23b	2	197/2	False	True					False	158		V7	e	iv		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	iv	iv, minor	V		iv	iv	True	V7	V7, minor		V7, minor		V	V7	5		4	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	0	1	1	5	True	True	True
790	2	197.5	69	3	A	0	3.5	0	False	3	8	1	1	1/16	True	1	25	68	23	23b	4	395/4	False	False					False	158		V7	e	iv		V7	V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	iv	iv, minor	V		iv	iv	True	V7	V7, minor		V7, minor		V	V7	5		4	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	-1	0	0	1	False	False	False
792	4	198.0	45	3	A	0	1.0	1	True	3	8	2	1	1/8	True	1	26	69	24	24b	2	99	False	True	PAC	PAC		}	True	159		i|PAC}	e	iv		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	iv	iv, minor	i		iv	iv	True	i	i, minor		i, minor		i	i	1		4	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	-1	0	0	1	True	True	True
792	8	198.0	69	3	A	0	1.0	1	True	3	8	1	1	1/4	True	1	26	69	24	24b	4	99	False	True	PAC	PAC		}	True	159		i|PAC}	e	iv		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	iv	iv, minor	i		iv	iv	True	i	i, minor		i, minor		i	i	1		4	3	3	3	3	A	A	A	A	minor triad	0	True	True	True	True	True	-1	0	0	1	True	True	True
796	4	199.0	57	3	A	0	2.0	2	True	3	8	2	1	1/8	True	1	26	69	24	24b	3	199/2	False	False				{	False	160		{	e	iv		i	i					m	True	True	()	()	0	0	minor	minor	iv	iv, minor	i		iv	iv	True		, minor		i, minor		i	i	1		4	3	3	3	3	A	A	A	A	None	0	False	True	True	True	True	-1	0	0	1	False	True	True
800	4	200.0	55	1	G	0	3.0	3	True	3	8	2	1	1/8	True	1	26	69	24	24b	3	100	False	False					False	160		{	e	iv		i	i					m	True	True	()	()	0	0	minor	minor	iv	iv, minor	i		iv	iv	True		, minor		i, minor		i	i	1		4	3	3	3	3	A	A	A	A	None	0	False	True	True	True	True	-3	-2	-2	7	False	False	False
804	8	201.0	54	6	F	1	1.0	1	True	3	8	2	1	1/4	True	1	27	70	25	25b	3	201/2	False	True					False	161		i.V/V	e	i		V/V	V				V	M	True	True	(2, 6, 3)	()	2	2	minor	minor	i	i, minor	V/V	V	V/i	V	False	V/V	V/V, minor		V/V, minor	V	V	V	5	5	4	4	5	6	6	F#	F#	E	B	major triad	0	True	True	True	True	True	2	2	1	2	True	True	True
806	2	201.5	73	7	C	1	1.5	0	False	3	8	1	1	1/16	True	1	27	70	25	25b	5	403/4	False	False					False	161		i.V/V	e	i		V/V	V				V	M	True	True	(2, 6, 3)	()	2	2	minor	minor	i	i, minor	V/V	V	V/i	V	False	V/V	V/V, minor		V/V, minor	V	V	V	5	5	4	4	5	6	6	F#	F#	E	B	major triad	0	True	True	True	True	True	3	3	2	#6	True	False	False
808	4	202.0	73	7	C	1	2.0	2	True	3	8	1	1	1/8	True	1	27	70	25	25b	5	101	False	False					False	161		i.V/V	e	i		V/V	V				V	M	True	True	(2, 6, 3)	()	2	2	minor	minor	i	i, minor	V/V	V	V/i	V	False	V/V	V/V, minor		V/V, minor	V	V	V	5	5	4	4	5	6	6	F#	F#	E	B	major triad	0	True	True	True	True	True	3	3	2	#6	True	False	False
812	4	203.0	42	6	F	1	3.0	3	True	3	8	2	1	1/8	True	1	27	70	25	25b	2	203/2	False	True					False	162		V7/v	e	i		V7/v	V		7		v	Mm7	True	True	(2, 6, 3, 0)	()	2	2	minor	minor	i	i, minor	V/v	v	v/i	v	True	V7/v	V7/v, minor		V7/v, minor	v	v	V7	5	5	4	4	5	6	6	F#	F#	E	B	dominant seventh chord	7	True	True	True	True	True	2	2	1	2	True	True	True
