onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
9246	6	385.25	58	-2	B	-1	1.25	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	3	1541/4	False	False				False	514	V		Eb	I	V	V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major	V	V, major		V	V	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
9252	6	385.5	63	-3	E	-1	1.5	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	4	771/2	False	True				False	515	vi	viio6/V	Eb	I	V	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	V	vi, major		vi	vi	6		-3	-3	-3	0	0	C	C	Eb	Eb	minor triad	0	True	False	True	True	True	0	0	0	1	True	False	False
9252	12	385.5	72	0	C	0	1.5	0	False	2	4	1	1	1/8	True	-3	194	194	193	193a	5	771/2	False	True				False	515	vi	viio6/V	Eb	I	V	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	V	vi, major		vi	vi	6		-3	-3	-3	0	0	C	C	Eb	Eb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
9258	6	385.75	60	0	C	0	1.75	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	4	1543/4	False	False				False	515	vi	viio6/V	Eb	I	V	vi		vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major	V	vi, major		vi	vi	6		-3	-3	-3	0	0	C	C	Eb	Eb	minor triad	0	True	False	True	True	True	3	3	3	6	True	True	True
9264	6	386.0	65	-1	F	0	2.0	2	True	2	4	1	2	1/16	True	-3	194	194	193	193a	4	386	False	True				False	516	V6		Eb	I	V	V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major	V	V6, major		V	V	5		-3	-3	-3	-2	2	Bb	D	Eb	Eb	major triad	1	True	False	True	True	True	2	2	2	2	True	False	False
9264	12	386.0	74	2	D	0	2.0	2	True	2	4	1	1	1/8	True	-3	194	194	193	193a	5	386	False	True				False	516	V6		Eb	I	V	V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major	V	V6, major		V	V	5		-3	-3	-3	-2	2	Bb	D	Eb	Eb	major triad	1	True	False	True	True	True	5	5	5	7	True	False	True
9270	6	386.25	62	2	D	0	2.25	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	4	1545/4	False	False				False	516	V6		Eb	I	V	V6		V		6			M	False	False	(5, 2, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V6	V6, major	V	V6, major		V	V	5		-3	-3	-3	-2	2	Bb	D	Eb	Eb	major triad	1	True	False	True	True	True	5	5	5	7	True	False	True
9276	6	386.5	67	1	G	0	2.5	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	4	773/2	False	True				False	517	#viio/ii		Eb	I	V	#viio/ii		#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major	V	#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	False	True	True	True	4	4	2	3	True	False	False
9276	12	386.5	76	4	E	0	2.5	0	False	2	4	1	1	1/8	True	-3	194	194	193	193a	5	773/2	False	True				False	517	#viio/ii		Eb	I	V	#viio/ii		#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major	V	#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	False	True	True	True	7	7	5	#1	True	True	True
9282	6	386.75	64	4	E	0	2.75	0	False	2	4	1	2	1/16	True	-3	194	194	193	193a	4	1547/4	False	False				False	517	#viio/ii		Eb	I	V	#viio/ii		#vii	o			ii	o	False	False	(7, 4, 1)	()	7	7	major	major	I	I, major	#vii/ii	ii	ii/I	ii	True	#viio/ii	#viio/ii, major	V	#viio/ii, major	ii	ii	viio	#7	2	-3	-3	-1	4	4	E	E	Eb	F	diminished triad	0	True	False	True	True	True	7	7	5	#1	True	True	True
